timestamp,alpha,beta,theta,gamma,delta
2026-02-04T16:40:56.869204,0.2315,0.1126,0.0196,-0.0496,-0.143
2026-02-04T16:40:57.870753,0.2273,0.0989,0.053,-0.0545,-0.0471
2026-02-04T16:40:58.872187,0.3109,0.0464,0.105,-0.0787,0.0644
2026-02-04T16:40:59.875157,0.2679,0.0553,0.0877,-0.0348,0.1122
2026-02-04T16:41:00.876708,0.1717,0.1171,0.0416,-0.0487,-0.0092
2026-02-04T16:41:01.877629,0.3246,0.1152,0.0163,-0.0501,-0.1539
2026-02-04T16:41:02.878215,0.306,0.0496,0.0032,-0.07,-0.1235
2026-02-04T16:41:03.879024,0.2676,0.0455,0.0503,-0.107,-0.1124
2026-02-04T16:41:04.882213,0.199,0.0982,-0.0327,-0.0387,0.0116
2026-02-04T16:41:05.883619,0.2591,0.1308,-0.1429,-0.1104,-0.0613
2026-02-04T16:41:06.885603,0.2447,0.1302,-0.0664,-0.0276,-0.0022
2026-02-04T16:41:07.886848,0.2238,0.0696,-0.09,-0.0351,-0.067
2026-02-04T16:41:08.888880,0.2152,0.0631,-0.0963,-0.1007,-0.1875
2026-02-04T16:41:09.889837,0.1049,0.177,-0.1492,-0.033,0.0363
2026-02-04T16:41:10.890777,0.0783,0.1713,-0.1007,-0.0278,0.0709
2026-02-04T16:41:11.892547,0.0939,0.1611,-0.1015,-0.0274,0.0916
2026-02-04T16:41:12.893954,0.1755,0.0976,-0.0751,-0.0728,0.0067
2026-02-04T16:41:13.894633,0.4545,0.1572,0.0799,-0.0374,0.1544
2026-02-04T16:41:14.897381,0.411,0.193,0.1089,0.0054,0.0241
2026-02-04T16:41:15.900809,0.3728,0.2399,0.096,-0.0176,0.0581
2026-02-04T16:41:16.902067,0.3266,0.2346,0.0371,-0.0549,0.0484
2026-02-04T16:41:17.903139,0.2608,0.2171,-0.0413,-0.0094,0.0246
2026-02-04T16:41:18.904960,0.2744,0.2714,0.0501,0.0134,0.1159
2026-02-04T16:41:19.906514,0.2887,0.2275,0.0561,-0.0463,0.0974
2026-02-04T16:41:20.907315,0.2232,0.1212,0.065,-0.0609,0.0571
2026-02-04T16:41:21.909256,0.2453,0.118,0.0948,-0.0826,0.1688
2026-02-04T16:41:22.910573,0.2175,0.1124,0.0661,-0.1309,0.109
2026-02-04T16:41:23.912163,0.1052,0.1062,0.0585,-0.135,0.0642
2026-02-04T16:41:24.914909,0.273,0.1434,0.056,-0.1143,-0.1536
2026-02-04T16:41:25.917556,0.2797,0.0608,0.1545,-0.116,-0.0057
